	sample	group	date
0	NAB1_T0	1	2017-08-08
1	NAB1_T1	1	2017-08-22
2	NAB1_T2	1	2017-09-05
3	NAB1_T3	1	2017-09-13
4	NAB1_T4	1	2017-09-26
5	NAB1_T5	1	2017-10-10
6	NAB1_T6	1	2017-10-17
7	NAB1_T7	1	2017-10-31
8	NAB1_T8	1	2017-11-14
9	NAB1_T9	1	2017-11-22
10	NAB1_T10	1	2017-12-05
11	NAB1_T11	1	2017-12-20
12	NAB1_T12	1	2018-01-03
13	NAB1_T13	1	2018-01-10
14	NAB1_T14	1	2018-01-23
15	NAB1_T15	1	2018-02-06
16	NAB1_T16	1	2018-02-27
17	NAB1_T17	1	2018-03-14
18	NAB2_T0	2	2017-08-08
19	NAB2_T1	2	2017-08-22
20	NAB2_T2	2	2017-09-05
21	NAB2_T3	2	2017-09-13
22	NAB2_T4	2	2017-09-26
23	NAB2_T5	2	2017-10-10
24	NAB2_T6	2	2017-10-17
25	NAB2_T7	2	2017-10-31
26	NAB2_T8	2	2017-11-14
27	NAB2_T9	2	2017-11-22
28	NAB2_T10	2	2017-12-05
29	NAB2_T11	2	2017-12-20
30	NAB2_T12	2	2018-01-03
31	NAB2_T13	2	2018-01-10
32	NAB2_T14	2	2018-01-23
33	NAB2_T15	2	2018-02-06
34	NAB2_T16	2	2018-02-27
35	NAB2_T17	2	2018-03-14
36	NAB3_T0	3	2017-08-08
37	NAB3_T1	3	2017-08-22
38	NAB3_T2	3	2017-09-05
39	NAB3_T3	3	2017-09-13
40	NAB3_T4	3	2017-09-26
41	NAB3_T5	3	2017-10-10
42	NAB3_T6	3	2017-10-17
43	NAB3_T7	3	2017-10-31
44	NAB3_T8	3	2017-11-14
45	NAB3_T9	3	2017-11-22
46	NAB3_T10	3	2017-12-05
47	NAB3_T11	3	2017-12-20
48	NAB3_T12	3	2018-01-03
49	NAB3_T13	3	2018-01-10
50	NAB3_T14	3	2018-01-23
51	NAB3_T15	3	2018-02-06
52	NAB3_T16	3	2018-02-27
53	NAB3_T17	3	2018-03-14
54	NAB4_T0	4	2017-08-08
55	NAB4_T1	4	2017-08-22
56	NAB4_T2	4	2017-09-05
57	NAB4_T3	4	2017-09-13
58	NAB4_T4	4	2017-09-26
59	NAB4_T5	4	2017-10-10
60	NAB4_T6	4	2017-10-17
61	NAB4_T7	4	2017-10-31
62	NAB4_T8	4	2017-11-14
63	NAB4_T9	4	2017-11-22
64	NAB4_T10	4	2017-12-05
65	NAB4_T11	4	2017-12-20
66	NAB4_T12	4	2018-01-03
67	NAB4_T13	4	2018-01-10
68	NAB4_T14	4	2018-01-23
69	NAB4_T15	4	2018-02-06
70	NAB4_T16	4	2018-02-27
71	NAB4_T17	4	2018-03-14
72	NAB_Feed_T9	5	2017-08-08
73	NAB_Feed_T10	5	2017-08-22
74	NAB_Feed_T11	5	2017-09-05
75	NAB_Feed_T12	5	2017-09-13
76	NAB_Feed_T13	5	2017-09-26
77	NAB_Feed_T14	5	2017-10-10
78	NAB_Feed_T15	5	2017-10-17
79	NAB_Feed_T17	5	2017-10-31
